,user_id,event_id,event_name,clicks_count
94,000b1ca3e2eefa7c8b24ed417548b301,855200,Спектакль «Щелкунчик»,2
161,000d99f08793606692008c9d805bd357,1439439,Выставка «От камня до искусственного интеллекта»,1
203,00127dd4421eddeb5f206ae28f3b540c,1245777,Балет «Анюта»,2
372,002445526f1c2e1f660cad308434c9e6,1260968,Экскурсия «Башкортостан в годы Великой Отечественной войны 1941–1945 гг.»,3
382,002493182f55b3337eda7e5186aba306,1294104,Спектакль «Луна и листопад»,1
432,0029949c6c556f44c019cc733aa36f2a,730366,Балет «Жизель»,1
433,0029949c6c556f44c019cc733aa36f2a,855200,Спектакль «Щелкунчик»,1
434,0029949c6c556f44c019cc733aa36f2a,985822,Балет «Спящая красавица»,1
435,0029949c6c556f44c019cc733aa36f2a,1294454,Спектакль «Преступление и наказание»,1
436,0029949c6c556f44c019cc733aa36f2a,1330275,Балет «Лебединое озеро»,1
695,004ea5f77be03ae0ec6ac19dd3b25f37,226666,Спектакль «Руслан и Людмила»,1
930,006807a8cfe875a5c321a2a887ceb83d,1270871,Выставка «Современное изобразительное искусство»,1
931,006807a8cfe875a5c321a2a887ceb83d,1436737,Выставка «Вместе#50»,2
1077,0079b7030b1544cbadd27b9dd9e97927,1440488,Концерт «За мечтой»,1
1204,008714901e34e9f95c513361ac7f0a5a,1299251,Полнокупольная программа «Путешествие по Солнечной системе»,1
1209,00897a299cede6ce89aeddb27f3ea760,1289197,Спектакль «Приключения доктора Айболита и его друзей»,1
1235,008afbb587d993c3fa7d4be64d8cad42,1306884,Обзорная экскурсия по музею Ш. Бабича,2
1236,008afbb587d993c3fa7d4be64d8cad42,1306981,Экскурсия «Жизнь и творчество Ш. Бабича»,3
1421,009c4634c201e7b98caa5899c2b27eb7,1283011,Концерт ансамбля танца «Тангаур»,1
1562,00acedf15941f05fa8f53c8692599e52,1473419,Концерт «Творчество против СПИДа!»,2
1723,00baf927593fc4e97492e8565d008178,1370190,Экскурсия в музее М. Г. Гареева,1
1724,00baf927593fc4e97492e8565d008178,1408031,Экскурсия «От рукописи до электронной книги»,1
1725,00baf927593fc4e97492e8565d008178,1428277,Экспозиция в Музее М. Муртазина,1
1953,00d14a79d6623521a9a4d35174f3a6a9,1407014,Концерт «Teppopy. net»,1
2060,00db072a6877ca6e93fdf135fdf86987,1455370,Программа «Юбилейный Октябрьский»,1
2212,00e85bf97e7aa2ae2adbb061fbae2d47,1235260,Спектакль «Амеля»,1
2213,00e85bf97e7aa2ae2adbb061fbae2d47,1438660,Концерт «Танцы народов мира»,1
2298,00f0204ee317d0a122f49930197a2bcc,1449808,Экскурсия «Экспозиции Шаранского историко-краеведческого музея»,3
2312,00f151d8b5032b210f03dc96146526b0,613205,Спектакль «Синяя птица»,4
2327,00f3e75fba5d49f47926c8cffd8bab89,1257579,Спектакль «Game over. Конец игры»,4
2471,01024640e50dd0b0e20e0ae8027c617a,1294454,Спектакль «Преступление и наказание»,1
2561,010ae9e4ed0edb07a60863cd72f9482e,1245777,Балет «Анюта»,4
2562,010ae9e4ed0edb07a60863cd72f9482e,1338855,Оперетта «Веселая вдова»,1
2563,010ae9e4ed0edb07a60863cd72f9482e,1394554,Опера «Дон Кихот»,1
2565,010b7573e15279667e582b197010798d,855200,Спектакль «Щелкунчик»,1
2566,010b7573e15279667e582b197010798d,1330275,Балет «Лебединое озеро»,1
2615,010fc3ec9e66b975520c9b1fdb98b376,1235260,Спектакль «Амеля»,2
2804,01269f23c70ae70b27dc73ecf2fec1dd,1394554,Опера «Дон Кихот»,4
2879,012fb005fbc076b91eba6cc213c82f04,1321058,Полнокупольная программа «Путешествие к миллиарду солнц»,5
2880,012fb005fbc076b91eba6cc213c82f04,1388127,Спектакль «Жанна. Дальше будет новый день»,1
2958,013a29057877b7e9fbf3e17d78aa0ac0,1360371,Спектакль «Любовь людей»,1
3083,014896f692e61acedcd85ca19558cda3,1247960,"Концерт «Цвети, мой Башкортостан!»",6
3084,014896f692e61acedcd85ca19558cda3,1257579,Спектакль «Game over. Конец игры»,1
3085,014896f692e61acedcd85ca19558cda3,1438660,Концерт «Танцы народов мира»,2
