,user_id,event_id,event_name,clicks_count
80,0009acaba2a155b50db6fb9a84730d55,1166761,Спектакль «Дачный роман»,1
175,000f227572f08762262ef5e8ea853150,1349144,Спектакль «Граф Монте-Кристо»,1
200,001273ee6fb0b3c0ced5b49b6f395d4c,1354824,Балет «Лебединое озеро»,1
201,001273ee6fb0b3c0ced5b49b6f395d4c,1421259,Спектакль «Анна Каренина»,1
202,001273ee6fb0b3c0ced5b49b6f395d4c,1448546,Спектакль «Конек-горбунок»,1
262,00162c85aa156b043becfd47b247db57,445155,Спектакль «Детектор лжи»,1
271,00190e8b939195516a7deda3b8a826b7,1341545,Выставка «Ожившие полотна»,1
319,001cc5245490a979373e8ed0151e50f2,1306223,Концерт «В. А. Моцарт. Реквием»,1
322,001cc5245490a979373e8ed0151e50f2,1354824,Балет «Лебединое озеро»,1
323,001cc5245490a979373e8ed0151e50f2,1363541,Концерт «Это танец!»,1
699,004f417b5794a5527de3b33b819f2efc,1246306,Экскурсия «От Красной Горки до Лесной поляны»,1
719,0051ae32662cffeee34aafb26d08998b,505221,Спектакль «Бульвар надежд в осенних листьях»,1
721,0051ae32662cffeee34aafb26d08998b,832898,Спектакль «Тетки»,1
724,0051ae32662cffeee34aafb26d08998b,1339002,Спектакль «Записки из Мертвого дома»,1
725,0051ae32662cffeee34aafb26d08998b,1346018,Спектакль «Свободная пара»,1
726,0051ae32662cffeee34aafb26d08998b,1347013,Спектакль «Сердце боксера»,1
727,0051ae32662cffeee34aafb26d08998b,1413221,Спектакль «С любимыми не расставайтесь»,2
728,0051ae32662cffeee34aafb26d08998b,1421259,Спектакль «Анна Каренина»,1
822,005c42cd4887f13a819f5ae926d7f4f8,1242243,Спектакль «Золото»,1
823,005c42cd4887f13a819f5ae926d7f4f8,1242708,Спектакль «Барышня-крестьянка»,3
824,005c42cd4887f13a819f5ae926d7f4f8,1340350,Выставка «Души моей мотивы»,1
825,005c42cd4887f13a819f5ae926d7f4f8,1366303,Выставка «Распятые мифы»,2
1071,00793f61a42b338d737abef3c47d2cf4,1242132,Спектакль «Весы»,1
1171,00833967a7553c3c0dc80a7b55f087cc,12558,Спектакль «Зойкина квартира»,2
