,user_id,event_id,event_name,clicks_count
43,0006129880b474bde13f3f17966990c4,491666,Спектакль «Женитьба»,4
44,0006129880b474bde13f3f17966990c4,720601,Спектакль «Дракула»,1
45,0006129880b474bde13f3f17966990c4,1122992,Опера «Иоланта»,1
283,001a4da0d7fa0a43e2319bfafb9659f6,491666,Спектакль «Женитьба»,1
284,001a4da0d7fa0a43e2319bfafb9659f6,720601,Спектакль «Дракула»,2
285,001a4da0d7fa0a43e2319bfafb9659f6,1278855,Полнокупольное шоу «Предание о звездах»,1
442,002bed842c1d5f83df83cca0692fb98b,861963,Спектакль «Винил»,1
1073,00796a342ca2c634cf2be8c04b93dc85,1278635,Выставки «Корни/вещи» и «Работа в черном»,1
1270,008e13b9ae482f0f36fe20d971d2fbf6,1313432,Спектакль «Три девушки в голубом»,2
1986,00d2ada91201c9feacf0e1ff9b6c6784,491666,Спектакль «Женитьба»,1
1987,00d2ada91201c9feacf0e1ff9b6c6784,1318423,Спектакль Ich bin Faust,2
2017,00d5a169c0ccdbbaad77f56802c37665,1378589,Балет «Коппелия»,1
2049,00d8c7ee3a9daa69a54e37bb19034243,1013207,Балет «Лебединое озеро»,1
2224,00e9f539a44d1835af91d7169a44af1d,319235,Спектакль «Баядерка»,5
2226,00e9f539a44d1835af91d7169a44af1d,1389823,Концерт «БезХХвек»,1
2227,00e9f539a44d1835af91d7169a44af1d,1393377,Концерт Государственного академического ансамбля народного танца им. Игоря Моисеева,7
2232,00ea3a207d407e968edaacaa2603530e,491666,Спектакль «Женитьба»,3
2284,00ed52c50f9b9d0c65cd34886df3881c,491666,Спектакль «Женитьба»,1
2671,01162c8371f8fd54f9060e875470d228,861963,Спектакль «Винил»,2
2672,01162c8371f8fd54f9060e875470d228,1287095,Спектакль «Продавец дождя»,1
2691,01191037bee0c268f22b18d7d3962c83,491666,Спектакль «Женитьба»,2
2711,0119caa1fa2a176f35297a7271100026,1299075,Спектакль «Мы»,1
2919,0136f14db52a8dcd16487e85bbb355fa,1361681,Спектакль «Два клена»,7
3114,014c0fe34849c18e633366e2da6be89f,491666,Спектакль «Женитьба»,1
3115,014c0fe34849c18e633366e2da6be89f,1286981,Спектакль «Отрочество»,1
3116,014c0fe34849c18e633366e2da6be89f,1287213,Спектакль «Преступление и наказание»,1
3295,015fddf82dc091d0c27567b754ab2a9d,1291295,Обзорная экскурсия «Дом Мешкова. Первый этаж»,1
3296,015fddf82dc091d0c27567b754ab2a9d,1291330,Экскурсия по экспозиции «Романовы»,1
3297,015fddf82dc091d0c27567b754ab2a9d,1299863,Обзорная экскурсия по Пермской художественной галерее,1
3298,015fddf82dc091d0c27567b754ab2a9d,1367928,Экскурсия «Технология создания иконы»,1
3299,015fddf82dc091d0c27567b754ab2a9d,1377626,Выставка «Дом мод Леонида Ивановича Лемехова»,2
3300,015fddf82dc091d0c27567b754ab2a9d,1408353,Экспозиция автомобильного музея «Ретро-Гараж»,2
3301,015fddf82dc091d0c27567b754ab2a9d,1454730,Выставка «Игорь Грабарь»,1
3402,016ce46a1c9b281d56af8d852b3e3143,1313359,Спектакль «Игроки»,3
3403,016ce46a1c9b281d56af8d852b3e3143,1313529,Спектакль «С любимыми не расставайтесь»,1
3513,0178cf77036a7b509ee8d47d3698664d,1414649,Спектакль «Семейка Аддамс»,1
3920,01a7a4373581ded72c15cf6f9cb079a5,1299863,Обзорная экскурсия по Пермской художественной галерее,2
3933,01a97708c0338cd9746b3654197b737f,1378589,Балет «Коппелия»,1
3934,01a97708c0338cd9746b3654197b737f,1414649,Спектакль «Семейка Аддамс»,2
4155,01c210960a533de79fa9971b15427e2c,491666,Спектакль «Женитьба»,3
4555,01e21a00d92bde5e5b0592e0254107e5,1278635,Выставки «Корни/вещи» и «Работа в черном»,1
5031,02100ed23bcdccfbfeed185ec4d49121,1261072,Полнокупольная программа «Призрак Вселенной»,1
5032,02100ed23bcdccfbfeed185ec4d49121,1276669,Полнокупольная программа «Путешествие по Солнечной системе»,6
5189,021f451fdc9ab6241b465ee9fb796c77,491666,Спектакль «Женитьба»,1
5554,024c4d8cd8194a0de28f20a71a7e61ff,1013207,Балет «Лебединое озеро»,1
5555,024c4d8cd8194a0de28f20a71a7e61ff,1299075,Спектакль «Мы»,2
5561,024c95357f741ee838d1c6ade5300ede,491666,Спектакль «Женитьба»,1
5562,024c95357f741ee838d1c6ade5300ede,1277313,Спектакль «Три товарища»,1
5603,02520ed9dc4497b62f479707acd8d409,1303239,Выставка «Уральский коэффициент»,1
5604,02520ed9dc4497b62f479707acd8d409,1377626,Выставка «Дом мод Леонида Ивановича Лемехова»,1
5645,02549231370add59b313093afc6d84a0,491666,Спектакль «Женитьба»,1
5646,02549231370add59b313093afc6d84a0,1287213,Спектакль «Преступление и наказание»,1
5667,02585b16471eae19c5837d35a316a935,1343087,Постоянная экспозиция Музея истории Пермского района,1
5668,02585b16471eae19c5837d35a316a935,1414649,Спектакль «Семейка Аддамс»,1
5685,025d4a6927a5ec7d6d70fb4a8cc5736f,491666,Спектакль «Женитьба»,1
5686,025d4a6927a5ec7d6d70fb4a8cc5736f,1378589,Балет «Коппелия»,2
5687,025d4a6927a5ec7d6d70fb4a8cc5736f,1414649,Спектакль «Семейка Аддамс»,1
6000,02803e198f6aa8492bd00f67195ce471,741701,Спектакль «Загадочное ночное убийство собаки»,1
6009,0281945cd023a9e1bf4dc9b0e61639b8,1299863,Обзорная экскурсия по Пермской художественной галерее,1
6047,0282d185da122ea2599eafa54ce39b10,491666,Спектакль «Женитьба»,1
6049,0282d185da122ea2599eafa54ce39b10,1279587,Спектакль «Я вижу солнце»,5
6050,0282d185da122ea2599eafa54ce39b10,1287095,Спектакль «Продавец дождя»,2
6051,0282d185da122ea2599eafa54ce39b10,1397501,Спектакль «Пизанская башня»,1
6130,028dde4fb9cbaaf9410057a6f1959756,1287095,Спектакль «Продавец дождя»,1
6131,028dde4fb9cbaaf9410057a6f1959756,1396527,Спектакль «Раскольников»,1
6140,028ea472e5782fd828ff13252a1dd9cc,473942,Спектакль «Анна Каренина»,1
6505,02b7a8f5bde3b878e658955533f5df63,720601,Спектакль «Дракула»,2
6572,02c037190269860c1afec2e2754d78a5,491666,Спектакль «Женитьба»,2
6573,02c037190269860c1afec2e2754d78a5,728138,Спектакль «Восемь женщин»,1
6747,02ca83979f4a00834647b0f87ba15cce,1323328,Спектакль «Зоя»,1
6883,02d598b9ec58e4d499e8eb6c73367dbc,235544,Спектакль «Алые паруса»,1
6884,02d598b9ec58e4d499e8eb6c73367dbc,545705,Спектакль «Летучий корабль»,1
6885,02d598b9ec58e4d499e8eb6c73367dbc,720601,Спектакль «Дракула»,1
6886,02d598b9ec58e4d499e8eb6c73367dbc,728138,Спектакль «Восемь женщин»,1
6887,02d598b9ec58e4d499e8eb6c73367dbc,729881,Спектакль «Географ глобус пропил»,3
6888,02d598b9ec58e4d499e8eb6c73367dbc,1299075,Спектакль «Мы»,2
7131,02ecbb5c06faef5c6e27bbe7541a0807,720601,Спектакль «Дракула»,2
7132,02ecd2ff178d6a61d591cffc045a400b,491666,Спектакль «Женитьба»,12
7251,02f9fe8cf5f4400456ac31d3e3f2f6e6,235544,Спектакль «Алые паруса»,1
7252,02f9fe8cf5f4400456ac31d3e3f2f6e6,491666,Спектакль «Женитьба»,2
7253,02f9fe8cf5f4400456ac31d3e3f2f6e6,720601,Спектакль «Дракула»,1
7285,02fce425a610edeaef1d679546aa7f20,491666,Спектакль «Женитьба»,2
7385,03067bf2ef3dc2dbe481e043674b4076,491666,Спектакль «Женитьба»,1
7386,03067bf2ef3dc2dbe481e043674b4076,720601,Спектакль «Дракула»,3
7387,03067bf2ef3dc2dbe481e043674b4076,1299075,Спектакль «Мы»,3
7388,03067bf2ef3dc2dbe481e043674b4076,1414649,Спектакль «Семейка Аддамс»,1
7400,03078ca183f5ec6903a2222b96b36aaf,491666,Спектакль «Женитьба»,1
7401,03078ca183f5ec6903a2222b96b36aaf,1287213,Спектакль «Преступление и наказание»,1
7403,0307e671673aa5d3ec856c8e213a7d5d,491666,Спектакль «Женитьба»,1
7404,0307e671673aa5d3ec856c8e213a7d5d,1414649,Спектакль «Семейка Аддамс»,2
7442,030abaaad6435aac313d4385a707ddc9,1287095,Спектакль «Продавец дождя»,1
7553,0315b7767f7bf59d9a0bc71730cb2831,491666,Спектакль «Женитьба»,2
7554,0315b7767f7bf59d9a0bc71730cb2831,1299075,Спектакль «Мы»,1
7674,031e1fa6a891008fde5274bbe647f4f5,1344243,Программа «Концерт для мам»,1
7724,032396efb18e0add0d42ba1e90f8404f,836562,Спектакль «Веселые похороны»,1
7725,032396efb18e0add0d42ba1e90f8404f,1299075,Спектакль «Мы»,1
7916,033338d2181952992c745f2dd085edfa,17014,"Спектакль «Синдерелла, или Сказка о Золушке»",1
7917,033338d2181952992c745f2dd085edfa,235544,Спектакль «Алые паруса»,1
7918,033338d2181952992c745f2dd085edfa,1308879,Концерт «Волшебство Queen»,1
7919,033338d2181952992c745f2dd085edfa,1397048,Концерт пианиста Реми Женье,2
7920,033338d2181952992c745f2dd085edfa,1397134,Концерт «Уличные мелодии в смокингах»,1
7921,033338d2181952992c745f2dd085edfa,1418119,Концерт «От Баха до Меркьюри»,1
8002,033cbac6167c0d94edeec7bde9465b10,729881,Спектакль «Географ глобус пропил»,1
8003,033cbac6167c0d94edeec7bde9465b10,1277313,Спектакль «Три товарища»,1
8021,033fb42b6d9ae941bb3339967cfd2e4a,1013207,Балет «Лебединое озеро»,2
8022,033fb42b6d9ae941bb3339967cfd2e4a,1318423,Спектакль Ich bin Faust,1
8023,033fb42b6d9ae941bb3339967cfd2e4a,1394036,Концерт «Гала оперы»,1
8024,033fb42b6d9ae941bb3339967cfd2e4a,1396527,Спектакль «Раскольников»,1
8025,033fb42b6d9ae941bb3339967cfd2e4a,1399643,Публичная лекция «Doc.урок». От фильма к жизни»,2
8026,033fb42b6d9ae941bb3339967cfd2e4a,1428951,Спектакль «Синюшкин колодец»‎,1
8045,0340d242b4e625317ac769dae52f126e,8069,Балет «Ромео и Джульетта»,1
8046,0340d242b4e625317ac769dae52f126e,235544,Спектакль «Алые паруса»,1
8047,0340d242b4e625317ac769dae52f126e,720601,Спектакль «Дракула»,2
8048,0340d242b4e625317ac769dae52f126e,1276669,Полнокупольная программа «Путешествие по Солнечной системе»,1
8049,0340d242b4e625317ac769dae52f126e,1278752,Спектакль Tolstoy,1
8215,034f49fa6b957d837e700fb57b641675,473942,Спектакль «Анна Каренина»,1
8216,034f49fa6b957d837e700fb57b641675,720601,Спектакль «Дракула»,1
8217,034f49fa6b957d837e700fb57b641675,734976,Спектакль «Дом Бернарды Альбы»,1
8218,034f49fa6b957d837e700fb57b641675,1277313,Спектакль «Три товарища»,5
8219,034f49fa6b957d837e700fb57b641675,1414649,Спектакль «Семейка Аддамс»,2
8319,035aa9c7a9424518bbe890bf309df22e,1461881,Спектакль «Турандот»,1
8820,0398b0f1bf78720212f827e82c976e76,236362,Спектакль «Монте-Кристо»,1
8821,0398b0f1bf78720212f827e82c976e76,473942,Спектакль «Анна Каренина»,1
8822,0398b0f1bf78720212f827e82c976e76,491666,Спектакль «Женитьба»,5
8823,0398b0f1bf78720212f827e82c976e76,729881,Спектакль «Географ глобус пропил»,2
8824,0398b0f1bf78720212f827e82c976e76,1299075,Спектакль «Мы»,1
8825,0398b0f1bf78720212f827e82c976e76,1435598,Спектакль «Новеченто (1900-й)»,1
8927,03a413aa9ec90dacce9d136e47164d4f,1278752,Спектакль Tolstoy,1
8928,03a413aa9ec90dacce9d136e47164d4f,1299863,Обзорная экскурсия по Пермской художественной галерее,1
9449,03e0bd4d48e92b9ae7b035556fe6726e,1291335,Экскурсия по экспозиции «От великих потрясений к Великой Победе»,1
9450,03e0bd4d48e92b9ae7b035556fe6726e,1294482,Экспозиция «От великих потрясений к Великой Победе»,1
9451,03e0bd4d48e92b9ae7b035556fe6726e,1428951,Спектакль «Синюшкин колодец»‎,1
9613,03fb5986cc63cecaa0116cc774beb9d5,720601,Спектакль «Дракула»,1
9682,0403edb053b25e54408a9e4405702e2e,861963,Спектакль «Винил»,2
