,user_id,event_id,event_name,clicks_count
23,0003d99e541b10a6150382456598670e,1262107,Балет «Жизель»,2
40,00053eece36c4ce280a08727d8b6d167,1245002,Спектакль «История лошади»,1
41,00053eece36c4ce280a08727d8b6d167,1320823,Спектакль «Завтра была война»,1
42,00053eece36c4ce280a08727d8b6d167,1320889,Спектакль «Алые паруса»,3
114,000ce7554ea4e24708b01f76fdcc83df,10600,Спектакль «Щелкунчик»,3
115,000ce7554ea4e24708b01f76fdcc83df,10607,Балет «Корсар»,1
116,000ce7554ea4e24708b01f76fdcc83df,24729,Балет «Лебединое озеро»,3
117,000ce7554ea4e24708b01f76fdcc83df,798692,Экскурсия «Призрак оперы приглашает»,1
118,000ce7554ea4e24708b01f76fdcc83df,1229424,Концерт «От Шостаковича до наших дней»,1
119,000ce7554ea4e24708b01f76fdcc83df,1244781,Спектакль «Полет над гнездом кукушки»,2
120,000ce7554ea4e24708b01f76fdcc83df,1350091,Спектакль «История Кая и Герды»,1
419,0027d0f991a1450b18d4d85ff4a19de9,1367945,Выставка «Искусство Востока»,1
472,00316070c39f40ec588f8b7ef263ec73,57846,Спектакль «Странная миссис Сэвидж»,2
473,00316070c39f40ec588f8b7ef263ec73,1262060,Балет «Три маски короля»,2
474,00316070c39f40ec588f8b7ef263ec73,1350091,Спектакль «История Кая и Герды»,2
566,003e89fbcd4a527b6dd512b6b1314c23,1299426,Выставка «Питер Пауль Рубенс и его время»,1
647,0049587568ce98cae82db02a2570185c,24729,Балет «Лебединое озеро»,2
648,0049587568ce98cae82db02a2570185c,1244781,Спектакль «Полет над гнездом кукушки»,5
649,0049587568ce98cae82db02a2570185c,1249134,Балет «Время Долгушина»,1
650,0049587568ce98cae82db02a2570185c,1320889,Спектакль «Алые паруса»,1
676,004c32dfbb3590468f7752f4aa63dadf,1262060,Балет «Три маски короля»,1
706,004ff1b28055c699364163261b0aad03,57846,Спектакль «Странная миссис Сэвидж»,1
707,004ff1b28055c699364163261b0aad03,1244781,Спектакль «Полет над гнездом кукушки»,1
784,0057e08c4af093e8f1e653fc0253add6,97445,Спектакль «Ося»,1
785,0057e08c4af093e8f1e653fc0253add6,472495,Спектакль «Касатка»,1
786,0057e08c4af093e8f1e653fc0253add6,976062,Спектакль «Отцы и дети»,1
787,0057e08c4af093e8f1e653fc0253add6,1233340,Спектакль «Женитьба»,1
788,0057e08c4af093e8f1e653fc0253add6,1233397,Спектакль «Вишневый сад»,1
789,0057e08c4af093e8f1e653fc0253add6,1275839,Спектакль «Темные аллеи»,1
790,0057e08c4af093e8f1e653fc0253add6,1320823,Спектакль «Завтра была война»,2
936,0068be7c57a2639f2ff5eb92dddf7de5,1242638,Спектакль «Олимпия»,2
937,0068be7c57a2639f2ff5eb92dddf7de5,1245700,Спекталь «Чичиковlive»,1
1047,0074bc78310f9628d306ec0a9c9b8df5,1364879,Концерт Сергея Жилина и «Фонограф-джаз-бэнда»,2
1175,00835a0694c2858d261c6328d7fc6fc7,1429500,Спектакль «Ромео и Джульетта»,2
1180,0083c966d6b62140f352a640deaa2c1e,22766,Оперетта «Летучая мышь»,1
1181,0083c966d6b62140f352a640deaa2c1e,24729,Балет «Лебединое озеро»,1
1370,009583e6cd74b946700be0f958198a66,1245700,Спекталь «Чичиковlive»,1
1371,009583e6cd74b946700be0f958198a66,1245942,Спектакль «Карамазовы»,1
1536,00a8a625f2625e90f7355ca47c4cc6d4,57846,Спектакль «Странная миссис Сэвидж»,1
1537,00a8a625f2625e90f7355ca47c4cc6d4,1244781,Спектакль «Полет над гнездом кукушки»,1
1538,00a8a625f2625e90f7355ca47c4cc6d4,1244954,Спектакль «Вот так и живем»,1
1541,00a9418f0c5b5d8f862126cb191c9b46,1244781,Спектакль «Полет над гнездом кукушки»,1
