,user_id,event_id,event_name,clicks_count
0,00001deaca68c3e7a9943ad6d29d1a95,1205186,Концерт оркестра UralBand,2
1,00001deaca68c3e7a9943ad6d29d1a95,1237397,Выставка «Антика. Западноевропейское искусство XV – начала XX века»,1
2,00001deaca68c3e7a9943ad6d29d1a95,1264968,Выставка «От романтизма к импрессионизму. Французская живопись и скульптура XIX века»,1
104,000c4e0211dc8f81060c31c7d73c4194,1237397,Выставка «Антика. Западноевропейское искусство XV – начала XX века»,2
105,000c4e0211dc8f81060c31c7d73c4194,1238608,Концерт Carmina Burana,1
106,000c4e0211dc8f81060c31c7d73c4194,1238661,Концерт «Классика. Джаз. Фингерстайл»,1
107,000c4e0211dc8f81060c31c7d73c4194,1264968,Выставка «От романтизма к импрессионизму. Французская живопись и скульптура XIX века»,1
108,000c4e0211dc8f81060c31c7d73c4194,1265080,Мемориальная экспозиция «В глубоком тылу»,2
109,000c4e0211dc8f81060c31c7d73c4194,1301123,Спектакль «Принцесса цирка»,1
110,000c4e0211dc8f81060c31c7d73c4194,1321803,Концерт «Венские классики»,1
111,000c4e0211dc8f81060c31c7d73c4194,1329375,Постоянная экспозиция Асбестовского исторического музея,1
425,0028b6a1e272b40445285b8a608645cc,1238765,Спектакль «Вий»,1
475,0031bf517f5ffe5a6d60c6e07b474594,1232906,Спектакль «Пролетая над гнездом кукушки»,1
575,0040b68cef76072500ee715ea73b714a,1299624,Концерт «Музыка машин и революции»,1
793,00590f99c12959ebe64a4f9605ff8713,1335375,Выставка открытого хранения фондов техники,1
836,005d876ae6b4d72e7302368ece90b34b,1344206,"Спектакль «Я, бабушка, Илико и Илларион»",1
843,005f0d61a47b8d75abb2f35677245344,1288591,Опера «Кармен»,1
844,005f0d61a47b8d75abb2f35677245344,1389922,Опера «Евгений Онегин»,1
882,00629d02447e519b566c0470cbd30f1e,1402725,Спектакль «Тетки»,3
1123,007e029629528366b93d4be32b6bb606,1237397,Выставка «Антика. Западноевропейское искусство XV – начала XX века»,2
1124,007e029629528366b93d4be32b6bb606,1318659,Выставка «Королевские игры»,1
1170,00828b909559780372bcc8cbe2d11543,1343644,Концерт Queen Tribute,1
1353,00953a1293a50031244c2658ce4b3169,1258230,Спектакль «Екатерина Великая»,1
1546,00ab1b1eeebf8f994462799587cf3edc,1238577,Спектакль «Человек на часах»,1
1547,00ab1b1eeebf8f994462799587cf3edc,1269056,Мюзикл «Яма»,3
1548,00ab1b1eeebf8f994462799587cf3edc,1290759,Опера «Русалка»,2
1549,00ab1b1eeebf8f994462799587cf3edc,1316011,Спектакль «Черт и девственница»,1
1660,00b4752bf86cac29d3fc5a0b558274af,837976,Спектакль «Эвита»,2
1661,00b4752bf86cac29d3fc5a0b558274af,1044574,Спектакль «Боккаччо»,1
1662,00b4752bf86cac29d3fc5a0b558274af,1236927,Спектакль «Тётка Чарли»,1
1663,00b4752bf86cac29d3fc5a0b558274af,1258230,Спектакль «Екатерина Великая»,1
