,user_id,event_id,event_name,clicks_count
64,0008dfce207211fb6d2b354ef80d618b,1364219,Экскурсия по Музею Эйнштейна,1
112,000cc2c48495797cec5a813d605c41a9,1245922,Экскурсия по панораме «Разгром немецко-фашистских войск под Сталинградом»,4
164,000e3a01cc889ec557b8bb841248fb31,1361240,Спектакль «Евгений Онегин»,1
265,001705b6bb5fb89bb0b280a424e504b3,1364219,Экскурсия по Музею Эйнштейна,1
295,001aba65ff14c40ee48588b85e215735,1321173,Спектакль «Комедия ошибок»,2
297,001b108115965e8c303ca73e2b019353,1364219,Экскурсия по Музею Эйнштейна,1
545,003bd79833e8007527150504b5c1be70,1334579,Спектакль «Обыкновенное чудо»,1
546,003bd79833e8007527150504b5c1be70,1350048,Лекция «Гордость Камышина»,1
600,00457f30c81795b66955e302a16b91c6,1308884,Экспозиции «Рюриковичи» и «Романовы»,1
601,00457f30c81795b66955e302a16b91c6,1375655,Экскурсия «Рюриковичи»,1
602,00457f30c81795b66955e302a16b91c6,1375700,Экскурсия «Романовы»,2
847,005f3fbddae660f027f3c8e06c848954,1432523,Мастер-класс «Художественная студия иконописи Романа Илюшкина»,1
934,0068ab8038ce4f5f7f38180fbb237550,1308884,Экспозиции «Рюриковичи» и «Романовы»,2
935,0068ab8038ce4f5f7f38180fbb237550,1313881,Тематическая экскурсия «Тайны великих женщин России»,1
969,006c7950b23b85abf99b8b3a2448d05a,136958,Спектакль «Бумажный патефон»,1
970,006c7950b23b85abf99b8b3a2448d05a,186082,Спектакль «Отель двух миров»,1
971,006c7950b23b85abf99b8b3a2448d05a,1351546,Спектакль «Лес»,3
972,006c7950b23b85abf99b8b3a2448d05a,1438581,Спектакль «Щелкунчик»,1
986,006eae0942b72a560174880c96fc1520,1420192,Концерт «Русь»,1
995,006ff044ae23d46e073488b300a7415e,1271069,Спектакль «Игра любви и случая»,1
1020,0071a2e1e1f8c81f6238e318707ba2da,1334579,Спектакль «Обыкновенное чудо»,1
1057,007627abf5bba69fce7072839410b93a,1364219,Экскурсия по Музею Эйнштейна,1
1262,008dd3917afb4447f737f82dc63d837b,1308884,Экспозиции «Рюриковичи» и «Романовы»,2
1263,008dd3917afb4447f737f82dc63d837b,1345360,Программа «Чудеса света и Солнечной системы»,3
1264,008dd3917afb4447f737f82dc63d837b,1364219,Экскурсия по Музею Эйнштейна,4
1265,008dd3917afb4447f737f82dc63d837b,1407174,"Программа «В солнечном царстве, в космическом государстве»",1
1408,0098da9a7998457aca14d3fe90d19ddf,1364219,Экскурсия по Музею Эйнштейна,2
1410,009b329782e43d588c22053d946733eb,1245922,Экскурсия по панораме «Разгром немецко-фашистских войск под Сталинградом»,1
1418,009bd07cc7a2af564663fd4bc74285b0,1364219,Экскурсия по Музею Эйнштейна,2
1720,00ba827d4ead940590d1453dffc9b54d,136958,Спектакль «Бумажный патефон»,1
1721,00ba827d4ead940590d1453dffc9b54d,1308884,Экспозиции «Рюриковичи» и «Романовы»,1
1722,00ba827d4ead940590d1453dffc9b54d,1364219,Экскурсия по Музею Эйнштейна,7
1806,00c29c591f026419fdf10cf6004ab446,1363136,Выставка «О самоварах и не только»,1
1807,00c29c591f026419fdf10cf6004ab446,1410394,Мастер-класс по керамике,1
1808,00c29c591f026419fdf10cf6004ab446,1445403,Интерактивная экскурсия по «Левыкинскому городку»,3
1831,00c60bd1560b4c0533e60f674de11f16,1387555,Концерт «Музыка вокруг нас»,1
1835,00c68fd546d2945d3cde0a4754a23c84,1340785,Программа «Музыкальная шкатулка»,3
1836,00c68fd546d2945d3cde0a4754a23c84,1346490,Концерт «Звон бубенца и скрип телеги»,1
1890,00cb7b867519e2731207340b08086315,1364219,Экскурсия по Музею Эйнштейна,2
1946,00d131c9906bc4f7ee5936a62b9a632b,136958,Спектакль «Бумажный патефон»,1
1947,00d131c9906bc4f7ee5936a62b9a632b,1246922,Спектакль «Проделки Скапена»,1
1948,00d131c9906bc4f7ee5936a62b9a632b,1359352,Спектакль «Герой нашего времени: Бэла»,1
1949,00d131c9906bc4f7ee5936a62b9a632b,1407227,Спектакль «Кротка.я»,1
1950,00d131c9906bc4f7ee5936a62b9a632b,1419513,Интерактивная программа «Новогодние приключения Планетоши»,1
1991,00d2ffa8bc144e652bb28f2a4cdbde96,1245922,Экскурсия по панораме «Разгром немецко-фашистских войск под Сталинградом»,1
2297,00f00cef0bddc4534f3a5d01f2ae3a9a,1364219,Экскурсия по Музею Эйнштейна,1
2322,00f2f6eb265f4eaa3b4507dee1d42f5b,1345360,Программа «Чудеса света и Солнечной системы»,1
2446,00ffa59446b0825f5ee1113ae6a82468,1324255,Выставка «Царицынский собор Александра Невского»,1
2447,00ffa59446b0825f5ee1113ae6a82468,1349191,Экспозиции Волгоградского краеведческого музея,1
2448,00ffa59446b0825f5ee1113ae6a82468,1364219,Экскурсия по Музею Эйнштейна,1
2483,0103a195dd80789a33c1540dcbf715d4,469757,Спектакль «Продавец игрушек»,3
2530,0107a9c6b889c13547e096ceb16785c1,1246922,Спектакль «Проделки Скапена»,1
2531,0107a9c6b889c13547e096ceb16785c1,1364219,Экскурсия по Музею Эйнштейна,1
2532,0107a9c6b889c13547e096ceb16785c1,1436844,Встреча «Солдаты отчизны»,2
2573,010d13650466ba9b11af1f6d4b568536,1340903,Программа «Орган + рок»,3
2720,011a5f1db818b6bc94861a1a85f5a983,1254632,Спектакль «Тихий Дон»,1
2727,011bd384d67e51a8e5c228cc7010427e,1246922,Спектакль «Проделки Скапена»,1
2728,011bd384d67e51a8e5c228cc7010427e,1271126,Мюзикл «Дубровский»,1
2812,0127be1785b2be69b9ec1207e1e3badc,1389124,"Концерт «Любо, братцы, любо!»",1
3130,014d8b71bbe09635b1c56d879920ada7,1246922,Спектакль «Проделки Скапена»,1
3267,015939852ac401a50524752267e499d6,1359352,Спектакль «Герой нашего времени: Бэла»,4
3268,015939852ac401a50524752267e499d6,1407227,Спектакль «Кротка.я»,1
3312,0161fc3a687ab775f80251c17a020235,136958,Спектакль «Бумажный патефон»,1
3313,0161fc3a687ab775f80251c17a020235,1189248,Выставка «91 день счастья»,2
3314,0161fc3a687ab775f80251c17a020235,1246922,Спектакль «Проделки Скапена»,1
3315,0161fc3a687ab775f80251c17a020235,1271108,Мюзикл «Алые паруса»,1
3316,0161fc3a687ab775f80251c17a020235,1409694,Экскурсии по Мемориально-историческому музею,3
3407,016d86abe96baf7713161ac71b5f4151,1364219,Экскурсия по Музею Эйнштейна,2
3482,01758a087c5a4606b1c98415c2033883,1189248,Выставка «91 день счастья»,1
3861,01a23cbdc41e01ff3817d9b24015bdbb,287562,Мюзикл «Д'Артаньян и три мушкётера»,1
3864,01a341612ddc6a03b3685728db4e38cb,1189248,Выставка «91 день счастья»,1
3907,01a67973355175add1855d999065ab5d,1245922,Экскурсия по панораме «Разгром немецко-фашистских войск под Сталинградом»,4
3908,01a67973355175add1855d999065ab5d,1259313,Обзорная экскурсия по музею-заповеднику «Старая Сарепта»,4
3909,01a67973355175add1855d999065ab5d,1308884,Экспозиции «Рюриковичи» и «Романовы»,1
4018,01b0e36b9b45faba60e9f01827c71857,1256530,Экскурсия «Подземелья Старой Сарепты»,4
4048,01b4f55f22dd12939e5a81d2c80c0135,136958,Спектакль «Бумажный патефон»,5
4141,01c1186ce3de974a0905ca62e0d02aea,1387555,Концерт «Музыка вокруг нас»,5
4142,01c1186ce3de974a0905ca62e0d02aea,1389117,Концерт-лекция «Pro. Свет. Искусства»,1
4182,01c40d0571d2432d3e35b98a2e427301,1349191,Экспозиции Волгоградского краеведческого музея,1
4219,01c720ad5737dccb44ea29f1f78725b5,1364219,Экскурсия по Музею Эйнштейна,1
4368,01d2d94f510be8c6a56c5a8f620e9944,1189248,Выставка «91 день счастья»,1
4369,01d2d94f510be8c6a56c5a8f620e9944,1255510,Спектакль «Доктор Фауст»,1
4370,01d2d94f510be8c6a56c5a8f620e9944,1407227,Спектакль «Кротка.я»,1
4424,01d51fd204f50b4b39c7f82be674f8c4,1189248,Выставка «91 день счастья»,4
4425,01d51fd204f50b4b39c7f82be674f8c4,1423074,Ночь искусств в Волгоградском музее изобразительных искусств им. И. И. Машкова,1
4490,01daa412c1d0b29b9761236d1a89b874,1390909,Музыкальная программа The Beatles,1
4544,01dfcc9e936471dd58b23a595ba6cbe9,1246922,Спектакль «Проделки Скапена»,1
4731,01f335027bfd6703288ed6bf236ecfdf,1332073,Интерактивная лекция «Памятники природы Камышинского района»,1
4785,01fa3f46364eb3987911477624f4c23a,1340903,Программа «Орган + рок»,4
4821,01fd695552e00d332c5d52044b307a84,1385737,Концерт Cinema land,7
5039,021164d7834d05f23a49ee61ee288a9f,1259236,Экскурсия «Горчица вчера и сегодня» и обзорная экскурсия,1
5040,021164d7834d05f23a49ee61ee288a9f,1259668,Экскурсия «Музей занимательного здоров`Я»,1
5041,021164d7834d05f23a49ee61ee288a9f,1259825,Программа «Сарепта под звуки органа»,1
5042,021164d7834d05f23a49ee61ee288a9f,1345255,Пешеходная экскурсия «На пути к звездам: улица мира и планетарий»,1
5043,021164d7834d05f23a49ee61ee288a9f,1410394,Мастер-класс по керамике,1
5044,021164d7834d05f23a49ee61ee288a9f,1445403,Интерактивная экскурсия по «Левыкинскому городку»,1
5045,021164d7834d05f23a49ee61ee288a9f,1463015,Экскурсия «Подземелья «Старой Сарепты»,1
5046,0211919a8df2d8cfcde0aa96f2200ee1,1270959,Спектакль «Чужой ребенок»,1
5047,0211919a8df2d8cfcde0aa96f2200ee1,1271108,Мюзикл «Алые паруса»,2
5048,0211919a8df2d8cfcde0aa96f2200ee1,1271126,Мюзикл «Дубровский»,1
5210,022497b8e87c43a329c71524cb748ad6,136958,Спектакль «Бумажный патефон»,1
5211,022497b8e87c43a329c71524cb748ad6,1364219,Экскурсия по Музею Эйнштейна,1
5406,023dbb138f87c0cbc3abb93e1d27ac40,1246922,Спектакль «Проделки Скапена»,1
5407,023dbb138f87c0cbc3abb93e1d27ac40,1340903,Программа «Орган + рок»,1
5408,023dbb138f87c0cbc3abb93e1d27ac40,1346586,Концерт симфонической музыки,1
5409,023dbb138f87c0cbc3abb93e1d27ac40,1400171,Концерт «В стиле Pink Floyd»,1
5410,023dbb138f87c0cbc3abb93e1d27ac40,1415652,Концерт «Новые классики. Organ Taurida»,1
5613,0252b3bff9ab982c184edff3e0f4c7b4,1423074,Ночь искусств в Волгоградском музее изобразительных искусств им. И. И. Машкова,3
5625,02537de90283656cc77f22348fe7caf3,1389014,"Праздник «В единстве твоя сила, Великая Россия!»",4
5626,02537de90283656cc77f22348fe7caf3,1474134,Программа «Мир студенчества»,1
5663,02573c9d7440c09c3014ae9bd54b87c8,1334347,Спектакль «Запретный плод»,1
5770,02646e2d26453f1a25194e9af25259f0,1246922,Спектакль «Проделки Скапена»,2
